id;date;day;lake;group;dN;dC_cor;CN;tot.cells;Eubacteria;Alfaproteobacteria;Betaprteobacteria;Gammaproteobacteria;Deltaproteobacteria;Other;Temperature;NO3;PO4;NH4
38;03.06.2019;154;T2;cyclopoida;13,47;-29,02575221;6,78;28016812,80;16631640,90;367587,00;1503765,00;3709287,00;5186318,40;618214,50;20,3;2,7819;0,00;0,2195
39;03.06.2019;154;W1;calanoida;12,66453041;-35,21461679;4,852734268;47883219,30;14920690,50;200502,00;2506275,00;434421,00;3742704,00;26078626,80;15,1;15,189;0,0386;0,2043
40;03.06.2019;154;W1;cyclopoida;11,84255868;-35,06823238;5,365867638;47883219,30;14920690,50;200502,00;2506275,00;434421,00;3742704,00;26078626,80;15,1;15,189;0,0386;0,2043
41;03.06.2019;154;W1;daphnia;10,36431144;-35,40765166;5,214893529;47883219,30;14920690,50;200502,00;2506275,00;434421,00;3742704,00;26078626,80;15,1;15,189;0,0386;0,2043
42;03.06.2019;154;T1;cyclopoida;16,4019915;-30,85173434;6,229472949;26693499,60;12397707,00;267336,00;1403514,00;1904769,00;2877203,70;7842969,90;18,4;2,3904;0,0034;0,1499
43;03.06.2019;154;P1;daphnia;7,907229102;-31,07988841;7,928660932;14031798,30;7385157,00;1102761,00;1537182,00;1436931,00;1771101,00;798666,30;20,2;15,0307;0,165;0,0903
44;03.06.2019;154;T1;daphnia;11,0094015;-31,82787081;5,889034778;26693499,60;12397707,00;267336,00;1403514,00;1904769,00;2877203,70;7842969,90;18,4;2,3904;0,0034;0,1499
45;03.06.2019;154;T1;calanoida;15,97138596;-32,03604393;6,446219447;26693499,60;12397707,00;267336,00;1403514,00;1904769,00;2877203,70;7842969,90;18,4;2,3904;0,0034;0,1499
46;17.06.2019;168;T1;calanoida;;-33,86037834;5,431029924;71863258,50;33791270,40;534672,00;1637433,00;979118,10;4050140,40;30870624,60;25,5;;;0,2001
48;17.06.2019;168;T1;cyclopoida;13,56;-33,57778905;4,93;71863258,50;33791270,40;534672,00;1637433,00;979118,10;4050140,40;30870624,60;25,5;;;0,2001
49;17.06.2019;168;P1;cyclopoida;13,66180262;-32,3914706;4,847433238;22225646,70;9734372,10;701757,00;2773611,00;233919,00;2506275,00;6275712,60;23,7;;;0,0235
51;17.06.2019;168;W1;cyclopoida;;-27,89519669;9,155024737;51158085,30;13600719,00;534672,00;4845465,00;300753,00;2038437,00;29838039,30;15;;;0,7587
52;17.06.2019;168;T2;cyclopoida;13,64;-28,88391304;5,75;67415455,80;31405296,60;1203012,00;2439441,00;628239,60;4060165,50;27679301,10;25,5;;;0,9932
53;17.06.2019;168;W1;daphnia;;-34,11451585;5,989491304;51158085,30;13600719,00;534672,00;4845465,00;300753,00;2038437,00;29838039,30;15;;;0,7587
54;17.06.2019;168;T2;calanoida;11,92;-32,87913386;3,81;67415455,80;31405296,60;1203012,00;2439441,00;628239,60;4060165,50;27679301,10;25,5;;;0,9932
55;17.06.2019;168;W1;calanoida;13,26788026;-36,21438777;4,993661;51158085,30;13600719,00;534672,00;4845465,00;300753,00;2038437,00;29838039,30;15;;;0,7587
56;01.07.2019;182;T1;daphnia;;-34,08902093;5,541576903;36227369,70;13560618,60;434421,00;2339190,00;2359240,20;2766927,60;14766972,30;24,4;0,1501;0,00;0,1321
57;01.07.2019;182;W1;calanoida;12,93258147;-38,59030254;5,294812677;32103711,90;14803731,00;401004,00;5179635,00;768591,00;1503765,00;9446985,90;17;3,7215;0,1331;0,9586
59;01.07.2019;182;T1;cyclopoida;14,15396679;-34,19258773;4,73434773;36227369,70;13560618,60;434421,00;2339190,00;2359240,20;2766927,60;14766972,30;24,4;0,1501;0,00;0,1321
60;01.07.2019;182;T2;cyclopoida;10,40557122;-29,15531291;5,097295831;34152174,00;16501314,60;1136178,00;1837935,00;2332506,60;2502933,30;9841306,50;25,4;1,556;0,0574;0,1256
61;01.07.2019;182;T2;calanoida;10,99;-30,10173554;4,84;34152174,00;16501314,60;1136178,00;1837935,00;2332506,60;2502933,30;9841306,50;25,4;1,556;0,0574;0,1256
63;01.07.2019;182;T1;calanoida;13,05234404;-34,07417301;5,034036943;36227369,70;13560618,60;434421,00;2339190,00;2359240,20;2766927,60;14766972,30;24,4;0,1501;0;0,1321
64;15.07.2019;196;T1;calanoida;14,4;-34,46886598;4,85;18205581,60;7986663,00;534672,00;2005020,00;2289064,50;1951552,80;3438609,30;20,2;0,194;0,00;0,0337
